Z,A,mass
9,21,20492.822647308083
10,21,20487.13847654436
11,21,20490.685395568697
12,21,19572.280000890318
13,21,19588.465862246525
6,22,20546.48145543275
7,22,20524.635057181185
8,22,20502.153284939373
9,22,20495.66362886943
10,22,21416.33963916083
11,22,21419.18296342985
12,22,21423.96436923226
13,22,20511.071647938406
14,22,20526.510231191867
6,23,21488.534984309837
7,23,21461.084784605704
8,23,21438.985726030813
9,23,21427.64961885678
10,23,22350.704412650848
11,23,22346.328604484395
12,23,22350.38478255903
13,23,21431.112425826657
14,23,21448.314000461567
7,24,22402.796445832264
8,24,22374.35886237957
9,24,22363.40297339976
10,24,23281.400917653835
11,24,23278.934659403
12,24,23273.418981949984
13,24,23287.30374827465
14,24,22366.603643025308
15,24,22389.87848561994
7,25,23343.33535598388
8,25,23314.681590448403
9,25,23298.68672636893
10,25,24216.811159138662
11,25,24209.48884887402
12,25,24205.65388020242
13,25,24209.9306881976
14,25,23291.17988153363
15,25,23307.5426950985
8,26,24253.50770277828
9,26,24237.521317158127
10,26,24219.327775823676
11,26,25143.479984244164
12,26,25134.126221340284
13,26,25138.130625063142
14,26,25143.19976194184
15,26,24229.819663372225
16,26,24246.52694159318
8,27,25195.01056494431
9,27,25175.474243190423
10,27,25157.39167447437
11,27,26076.31707666692
12,27,26067.24827271287
13,27,26064.63800361081
14,27,26069.45036203075
15,27,26081.175834671085
16,27,25167.831430023984
8,28,26133.914702946186
9,28,26115.23866350208
10,28,26093.13460559833
11,28,27012.34065485452
12,28,26998.3090245122
13,28,26996.478250167904
14,28,26991.83617298709
15,28,27006.18111284252
16,28,26085.908069694317
17,28,26110.1047821943
9,29,27053.47916039367
10,29,27031.728773102237
11,29,27016.0089633958
12,29,27934.21071203903
13,29,27926.615310059413
14,29,27922.9279909717
15,29,27927.87022264017
16,29,27941.7286491061
17,29,27027.35075082087
18,29,27051.29760120581
9,30,27993.78333403148
10,30,27968.103192023053
11,30,27953.297741585026
12,30,28867.43580156325
13,30,28860.4530581587
14,30,28851.88421223976
15,30,28856.116318764463
16,30,28862.257920200045
17,30,27949.49762010779
18,30,27966.893893777
9,31,28933.159739543276
10,31,28907.49876861497
11,31,28888.56320559899
12,31,29804.689125223944
13,31,29792.860567857275
14,31,29784.86223972021
15,31,29783.37073292833
16,31,29788.76874527589
17,31,29800.77672424209
18,31,28887.64228022866
19,31,28910.577528018377
10,32,29844.81022309663
11,32,29826.451428187946
12,32,30738.476478560795
13,32,30728.20601088637
14,32,30715.22768985621
15,32,30715.000503102096
16,32,30713.28984263084
17,32,30725.970673749493
18,32,30737.10502675289
19,32,29829.801058624376
10,33,30785.43576219977
11,33,30763.085492706366
12,33,30744.268251797257
13,33,31662.302099560016
14,33,31650.285154031582
15,33,31644.46213103098
16,33,31644.213623885888
17,33,31649.796141983672
18,33,31661.415186765335
19,33,30746.845824524826
20,33,30770.335311305484
10,34,31723.641279624822
11,34,31702.479596606117
12,34,31679.12280581782
13,34,32599.29596578492
14,34,32582.30190009121
15,34,32577.74488283462
16,34,32572.36189485352
17,34,32577.853498772936
18,34,32583.915291656816
19,34,32601.07332732589
20,34,31685.689415410045
11,35,32640.125286075618
12,35,32617.933370579634
13,35,33533.5639570377
14,35,33519.39620653069
15,35,33508.92987731733
16,35,33504.941476663145
17,35,33504.77415517201
18,35,33510.74039818534
19,35,33522.614793445304
20,35,32607.48386973872
21,35,32629.39354252168
11,36,33579.690784890205
12,36,33554.16784648398
13,36,33539.73807134344
14,36,34452.84566410787
15,36,34445.03074436509
16,36,34434.61764817669
17,36,34435.759781040484
18,36,34435.05024707877
19,36,34447.86460744851
20,36,34458.830622700705
21,36,33549.93793176491
11,37,34518.41607602442
12,37,34493.49326666608
13,37,34475.091353826894
14,37,35390.2043788743
15,37,35377.77987859423
16,37,35369.87946539124
17,37,35365.014339693385
18,37,35365.828212172506
19,37,35371.975690404375
20,37,35383.639821363584
21,37,34469.06179250195
22,37,34490.45169157575
11,38,35458.68112690992
12,38,35430.8499461179
13,38,35413.245639076325
14,38,36324.0996951721
15,38,36313.64842914987
16,38,36301.408778285455
17,38,36298.47187798189
18,38,36293.55516707214
19,38,36299.46923430632
20,38,36306.21149015247
21,38,36324.0205181734
22,38,35408.14570886559
11,39,36398.24662572451
12,39,36371.04513494572
13,39,36349.75956321139
14,39,36330.59034607775
15,39,37246.98946081352
16,39,37236.60142461095
17,39,37229.96387801685
18,39,37226.52190111809
19,39,37225.95690133962
20,39,37232.48138986769
21,39,37245.59137013727
22,39,36330.77012443952
23,39,36350.8400963702
12,40,37309.31399396975
13,40,37288.58452421456
14,40,37265.43097239849
15,40,38183.11900949619
16,40,38168.420349268046
17,40,38163.70038015916
18,40,38156.21829913183
19,40,38157.72270212422
20,40,38156.411796501474
21,40,38170.73484570524
22,40,38182.26475954222
23,40,37272.23400823483
12,41,38249.35828075298
13,41,38225.84830110207
14,41,38204.45840202826
15,41,39117.77253404853
16,41,39103.74372147588
17,41,39095.445109448
18,41,39089.68479183589
19,41,39087.192752725234
20,41,39087.61439249674
21,41,39094.10994119837
22,41,39107.054762906126
23,41,38191.56838663902
24,41,38211.66816638098
13,42,39164.74219266882
14,42,39139.59185190356
