Z,A,mass
48,102,95864.23284722204
49,102,95873.19765265404
50,102,95878.95765262668
51,102,95892.79264549549
37,103,96842.22639283106
38,103,96828.10680522662
39,103,96816.92961746691
40,103,96807.57765700412
41,103,96800.35798341715
42,103,96794.4323190814
43,103,96790.78273077712
44,103,96788.11948294796
45,103,96787.354945191
46,103,96787.92967053172
47,103,96790.58394807266
48,103,96794.73502485688
49,103,96800.75425404924
50,103,96808.2939256682
51,103,96818.71641318015
37,104,97779.43055409602
38,104,97763.1210238568
39,104,97752.80100069613
40,104,97741.16309315887
41,104,97735.0697570902
42,104,97726.53700563626
43,104,97724.38178444414
44,104,97718.78498969022
45,104,97719.92140970068
46,104,97717.48563086837
47,104,97721.76428322188
48,104,97722.91236181252
49,104,97730.69807828368
50,104,97735.25369643614
51,104,97747.5855652167
52,104,97757.25392255526
38,105,98700.18452951228
39,105,98687.80497289116
40,105,98676.916581837
41,105,98668.45930935016
42,105,98661.0440685764
43,105,98656.08855255382
44,105,98652.44031305298
45,105,98650.5235860219
46,105,98649.95695070742
47,105,98651.30400761629
48,105,98654.04100649098
49,105,98658.73427338994
50,105,98665.0368547048
51,105,98674.35936505006
52,105,98685.5633472376
38,106,99635.56855130114
39,106,99624.0785715478
40,106,99611.119625595
41,106,99603.66628019196
42,106,99593.74095530131
43,106,99590.09270555404
44,106,99583.54570577569
45,106,99583.50630171214
46,106,99579.96141520794
47,106,99582.92655841268
48,106,99582.73680561208
49,106,99589.26080866404
50,106,99592.51526089608
51,106,99603.39565693637
52,106,99611.6491995536
53,106,99626.56938677769
38,107,100573.11270791347
39,107,100559.39273127896
40,107,100547.3429235701
41,107,100537.6392560846
42,107,100528.81808611169
43,107,100522.61309370796
44,107,100517.50049517745
45,107,100514.49934972562
46,107,100512.99040659372
47,107,100512.95636141578
48,107,100514.37273545828
49,107,100517.796393594
50,107,100522.85082218082
51,107,100530.70981184108
52,107,100540.70602809038
53,107,100551.9333265068
39,108,101496.0771188348
40,108,101481.9072305488
41,108,101473.31196559414
42,108,101462.10786510684
43,108,101456.9343328896
44,108,101449.19575933497
45,108,101447.82600750378
46,108,101443.33294756376
47,108,101445.25037135243
48,108,101443.60474077596
49,108,101448.73733475887
50,108,101450.78721421446
51,108,101460.41182206952
52,108,101467.07548682675
53,108,101480.0861595786
54,108,101490.22480686512
39,109,102431.8709980287
40,109,102418.6214259159
41,109,102407.66146630688
42,109,102397.69198114384
43,109,102390.0684368644
44,109,102383.612810137
45,109,102379.35201452544
46,109,102376.74478209416
47,109,102375.63183480356
48,109,102375.8469344902
49,109,102377.86173946684
50,109,102381.7210853391
51,109,102388.1002792494
52,109,102396.63586617142
53,109,102406.67876052168
54,109,102418.18171878232
40,110,103353.62539811096
41,110,103343.53545399358
42,110,103331.3095529136
43,110,103324.81080452973
44,110,103315.77273894956
45,110,103313.01667518508
46,110,103307.51446341084
47,110,103308.3880614288
48,110,103305.49739862952
49,110,103309.37539860266
50,110,103310.00337559824
51,110,103318.39562327629
52,110,103323.61554762578
53,110,103335.377523657
54,110,103343.9227310501
40,111,104290.8593671872
41,111,104278.37920920302
42,111,104267.39965654702
43,111,104258.31479456616
44,111,104250.55414460128
45,111,104245.03559907792
46,111,104241.35358360093
47,111,104239.12402359048
48,111,104238.08722314828
49,111,104238.9474206921
50,111,104241.40088952892
51,111,104246.5027237136
52,111,104253.75198341624
53,111,104262.38567529712
54,111,104272.81912090568
55,111,104284.43950983336
40,112,105226.41385239678
41,112,105214.76365565784
42,112,105201.35386655944
43,112,105193.5746407392
44,112,105183.20269982322
45,112,105179.10252080824
46,112,105172.51253350852
47,112,105172.2498437882
48,112,105168.25871571928
49,112,105170.84344604754
50,112,105170.17852320138
51,112,105177.23459941064
52,112,105181.26605465372
53,112,105191.77023419846
54,112,105198.80722502504
55,112,105212.41908500204
40,113,106163.9878168204
41,113,106150.11786963542
42,113,106137.67776589762
43,113,106127.51612654218
44,113,106118.45985863576
45,113,106111.5607317308
46,113,106106.73717582024
47,113,106103.30085029622
48,113,106101.28438912307
49,113,106100.9605514724
50,113,106101.9995455832
51,113,106105.91070954088
52,113,106111.98063809425
53,113,106119.20815858751
54,113,106128.12404846972
55,113,106138.56313613808
56,113,106150.6180819684
41,114,107086.86187281378
42,114,107072.14147151329
43,114,107063.22148398851
44,114,107051.60056410923
45,114,107046.11150223724
46,114,107038.33143062032
47,114,107036.89096720883
48,114,107031.80684352152
49,114,107033.25196999247
50,114,107031.26204242885
51,114,107037.3251608288
52,114,107039.93210077097
53,114,107049.18284322158
54,114,107054.73587917708
55,114,107067.13584949145
56,114,107075.91634111688
41,115,108022.4359193995
42,115,108008.76624344652
43,115,107997.51938365395
44,115,107987.2105840657
45,115,107979.0866514009
46,115,107972.89005827947
47,115,107968.3332934578
48,115,107965.23140039836
49,115,107963.77952338965
50,115,107963.28203381391
51,115,107966.31246823476
52,115,107971.253112954
53,115,107976.97807570743
54,115,107984.65912298084
55,115,107993.61642336485
56,115,108004.395673118
41,116,108959.57953354782
42,116,108943.59975222083
43,116,108933.596437055
44,116,108920.7410648629
45,116,108914.07423954616
46,116,108904.97895600928
47,116,108902.26731799304
48,116,108896.09749321762
49,116,108896.56022409092
50,116,108893.2840037732
51,116,108897.98796236148
52,116,108899.54618991484
53,116,108907.38932833997
54,116,108911.7631048712
55,116,108922.7678181144
56,116,108930.43028860088
57,116,108944.76039387244
42,117,109880.61482018302
43,117,109868.1644700101
44,117,109856.81421437216
45,117,109847.40732649664
46,117,109839.88019558277
47,117,109834.12216665166
48,117,109829.88568769363
49,117,109827.36104991291
50,117,109825.90634209364
51,117,109827.66452137656
52,117,109831.20858443996
53,117,109835.86551654848
54,117,109842.11873799084
55,117,109849.81098368632
56,117,109858.84617840164
57,117,109870.03304717956
42,118,110815.42783608708
43,118,110804.50793072445
44,118,110790.79820052504
45,118,110782.9113480132
46,118,110772.40982974714
47,118,110768.24438466638
48,118,110761.09653858966
49,118,110760.57001061676
50,118,110756.14534376822
51,118,110759.80198348287
52,118,110760.107429714
53,118,110766.82713129344
54,118,110769.71912054037
55,118,110779.388810847
56,118,110785.59860044536
57,118,110798.17842829852
42,119,111752.71210584484
43,119,111739.12253838468
44,119,111727.21245479118
45,119,111716.46948766478
46,119,111707.8850122063
47,119,111700.64653082192
48,119,111695.3153506798
49,119,111691.59363119818
50,119,111689.22730456614
51,119,111689.81675030816
52,119,111692.10975065596
53,119,111695.51455814554
54,119,111700.49780102156
55,119,111706.98722794396
56,119,111714.70219371207
57,119,111724.27265940394
58,119,111735.4720129973
43,120,112675.78643307024
44,120,112661.06603176976
45,120,112652.16653711523
46,120,112640.50678790428
47,120,112635.13488004552
48,120,112626.8290265825
49,120,112625.05865124732
50,120,112619.68865108848
51,120,112622.3692591732
52,120,112621.424231393
53,120,112627.03923126764
54,120,112628.61395744456
55,120,112636.89774381228
56,120,112641.89774333572
57,120,112653.21633096867
58,120,112661.05671682872
43,121,113610.74010458376
44,121,113597.66006439764
45,121,113586.03036052894
46,121,113576.09815748585
47,121,113567.8776633479
48,121,113561.20665748564
49,121,113556.44590104448
50,121,113553.08386869555
51,121,113552.6813374916
52,121,113553.73738353346
53,121,113556.034845738
54,121,113559.7994977828
55,121,113565.17815245334
56,121,113571.53564720854
57,121,113580.09022263782
58,121,113589.59053098835
59,121,113600.72933746508
43,122,114547.4692038565
44,122,114531.99429233302
45,122,114521.89503327465
46,122,114509.15842844358
47,122,114502.668478953
48,122,114493.16221276615
49,122,114490.2032360524
50,122,114483.83464440794
51,122,114485.44039213296
52,122,114483.4613146126
53,122,114487.69531486485
54,122,114488.4196083506
55,122,114495.62982820392
56,122,114499.16564568154
57,122,114509.23137095229
58,122,114515.90086872556
59,122,114528.99488132323
44,123,115468.71873413524
45,123,115456.07835916545
46,123,115444.83895132568
47,123,115435.70011857653
48,123,115427.8545163495
49,123,115421.83966517942
50,123,115417.45401675584
51,123,115416.04580912217
52,123,115416.09772128848
53,123,115417.32611143764
54,123,115420.020441362
55,123,115424.22504272884
56,123,115429.61373611132
57,123,115436.61758437776
58,123,115444.98240141748
59,123,115455.03881174716
44,124,116403.17312480988
45,124,116392.0529482152
46,124,116378.362779392
47,124,116370.53285141624
48,124,116360.06336536937
49,124,116355.89502334196
50,124,116348.53132586284
51,124,116349.14373293448
52,124,116346.23865992142
53,124,116349.39824693109
54,124,116349.09539677402
55,124,116355.02174110049
56,124,116357.6730164359
57,124,116366.504184135
58,124,116371.8469781456
59,124,116383.61174865912
60,124,116391.932785476
44,125,117339.88732017696
45,125,117326.42723039704
46,125,117314.29731419536
47,125,117303.73696555624
48,125,117294.90881403508
49,125,117287.84459656736
50,125,117282.363246535
51,125,117280.00181024702
52,125,117279.23511049224
53,125,117279.42088022406
54,125,117281.05754330684
55,125,117284.16716217836
56,125,117288.5879279296
57,125,117294.49741128128
58,125,117301.5991865912
59,125,117310.1866307214
60,125,117320.18715140494
45,126,118262.5508585032
46,126,118247.96086637703
47,126,118239.03063241715
48,126,118227.49527958612
49,126,118221.94162977605
50,126,118213.73587094327
51,126,118213.35787063652
52,126,118209.68683933796
53,126,118211.84051052388
54,126,118210.6046199842
55,126,118215.4003232896
56,126,118217.0810935496
57,126,118224.77753096855
58,126,118228.93044186464
59,126,118239.42744890478
60,126,118246.3708059442
61,126,118260.00135914488
45,127,119197.51477645183
46,127,119184.02487886064
47,127,119172.59544622398
48,127,119162.50391018316
49,127,119154.36521240532
50,127,119147.77553063568
51,127,119144.5468146542
52,127,119142.96461230564
53,127,119142.26189222328
54,127,119142.92422551585
55,127,119145.0050818078
56,127,119148.42715360904
57,127,119153.34899239385
58,127,119159.2657656184
59,127,119166.701883038
60,127,119175.3349703792
61,127,119185.9353732647
45,128,120135.39892841158
46,128,120118.34886036091
47,128,120108.02883720024
48,128,120095.50096622514
49,128,120088.54909439814
50,128,120079.3777813811
51,128,120078.10935934138
52,128,120073.74541752489
53,128,120075.00118149124
54,128,120072.8786775484
55,128,120076.80743891076
56,128,120077.37005575966
57,128,120084.11377218858
58,128,120087.20528654072
59,128,120096.4084482726
60,128,120102.20886204836
61,128,120114.5194881059
62,128,120123.58944618113
46,129,121056.35317505988
47,129,121042.36306513564
48,129,121031.11117248042
49,129,121021.39842479042
50,129,121013.64271733323
51,129,121009.60392936858
52,129,121007.22842938262
53,129,121005.7261380501
54,129,121005.53724447828
55,129,121006.73426337785
56,129,121009.1724482594
57,129,121012.90977306174
58,129,121017.945810229
59,129,121024.4597484872
60,129,121031.8586061427
61,129,121041.05338442764
62,129,121051.9034277326
46,130,121992.99750836928
47,130,121979.8299077375
48,130,121964.6098185352
49,130,121955.82088664168
50,130,121945.59519961472
51,130,121943.44172963154
52,130,121938.37445667254
53,130,121938.79122855832
54,130,121935.84694150652
55,130,121938.82766208712
56,130,121938.47063995904
57,130,121944.10004166405
58,130,121946.3045034974
59,130,121954.5519522802
60,130,121959.1311772877
61,130,121970.25787434106
62,130,121978.02746664932
63,130,121992.21412182914
46,131,122931.48154253096
47,131,122916.4714465646
48,131,122902.0097584361
49,131,122889.19714927528
50,131,122879.95694015996
51,131,122875.24010739171
52,131,122872.0104971759
53,131,122869.77879100305
54,131,122868.8079441438
55,131,122869.16594426616
56,131,122870.54256027736
57,131,122873.45225443266
58,131,122877.51307036988
59,131,122882.92085472395
60,131,122889.45347875389
61,131,122897.45126848736
62,131,122906.94133040275
63,131,122917.75783992006
47,132,123854.31554427792
48,132,123838.25019217674
49,132,123826.3040672134
50,132,123812.16906710756
51,132,123809.08033978577
52,132,123803.527423993
53,132,123803.0121195926
54,132,123799.43664697652
55,132,123801.56292808136
56,132,123800.28071806594
57,132,123804.99204384103
58,132,123806.24693313443
59,132,123813.48815776898
60,132,123817.28980596506
61,132,123827.08797166428
62,132,123833.57582808762
63,132,123846.5152126643
47,133,124791.12940951396
48,133,124776.0699443602
49,133,124762.51949965232
50,133,124749.33583354176
51,133,124741.28621081896
52,133,124737.27259089348
53,133,124734.352422087
54,133,124732.5661405585
55,133,124732.13878037925
56,133,124732.65621138072
57,133,124734.71533218928
58,133,124737.7915001761
59,133,124742.2721321218
60,133,124747.87734385644
61,133,124754.8020710138
62,133,124762.97872624482
63,133,124772.97365796375
64,133,124784.14972420456
48,134,125712.24387314788
49,134,125699.73390735242
50,134,125685.27006747252
51,134,125677.68482157312
52,134,125669.17007310568
53,134,125667.66038571
54,134,125663.57799171192
55,134,125664.81266013134
56,134,125662.7538234285
57,134,125666.48516710718
58,134,125666.87092769131
59,134,125673.1758265635
60,134,125676.05738307646
61,134,125684.93991801784
62,134,125690.32767990622
63,134,125701.90335711696
64,134,125710.17409325232
48,135,126650.37766552703
49,135,126636.08761450188
50,135,126622.56567630803
51,135,126613.50759571412
52,135,126605.4691378796
53,135,126599.41874834652
54,135,126596.78456313338
55,135,126595.6159721111
56,135,126595.34727332232
57,135,126596.55447104917
58,135,126598.58162111716
59,135,126602.26205678016
60,135,126606.98430898107
61,135,126613.1355998183
62,135,126620.34070670052
63,135,126629.05017655811
64,135,126638.9482328904
65,135,126650.14479200146
49,136,127573.72212604216
50,136,127558.52200527892
51,136,127550.18514144572
52,136,127540.26675152867
53,136,127535.14680630415
54,136,127528.2628608901
55,136,127528.3531757638
56,136,127525.8049516209
57,136,127528.65454298224
58,136,127528.18348082568
59,136,127533.35160944564
60,136,127535.492733406
61,136,127543.5221082415
62,136,127547.88113176911
63,136,127558.4484172448
64,136,127565.6022919514
65,136,127578.7922484416
49,137,128510.35621291643
50,137,128496.03635407996
51,137,128486.12574027567
52,137,128476.8823706009
53,137,128469.82986480852
54,137,128463.80271884776
55,137,128459.6403607385
56,137,128458.46473227824
57,137,128459.0452682792
58,137,128460.2673680487
59,137,128462.98431930736
60,137,128466.6021641556
61,137,128472.11327449304
62,137,128478.19447785102
63,137,128486.0402291171
64,137,128494.97258781502
65,137,128505.2190229416
50,138,129432.17022862128
51,138,129423.03040848834
52,138,129411.98424096312
53,138,129405.70032585856
54,138,129397.70799095456
55,138,129394.79320711548
56,138,129389.41843025488
57,138,129391.16682791822
58,138,129390.11436906016
59,138,129394.55136889064
60,138,129395.66305400668
61,138,129402.76586513806
62,138,129406.18246348
63,138,129415.93056043972
64,138,129422.02066888132
65,138,129434.0797915312
66,138,129442.74920714242
50,139,130369.86435578408
51,139,130359.12422878324
52,139,130348.96925799406
53,139,130340.70337401146
54,139,130333.52975162996
55,139,130328.47324953724
56,139,130324.26042028298
57,139,130321.9519571331
58,139,130322.21659647058
59,139,130324.34568552717
60,139,130327.15740792724
61,139,130331.67330996566
62,139,130336.79410843876
63,139,130343.7762864264
64,139,130351.54279828366
65,139,130361.04403812833
66,139,130371.47397759308
50,140,131306.17800868716
51,140,131296.27808936665
52,140,131284.30099129296
53,140,131277.06221741938
54,140,131267.68197865863
55,140,131263.61870171403
56,140,131257.4005351892
57,140,131256.3563806011
58,140,131252.59421378255
59,140,131255.98221339256
60,140,131256.41119437153
61,140,131262.45639361948
62,140,131265.21249464373
63,140,131273.68249506596
64,140,131278.88616298043
65,140,131290.18616264858
66,140,131297.83834198822
67,140,131311.35059543786
51,141,132232.6224815751
52,141,132221.4929900394
53,141,132212.2358771006
54,141,132203.96523411467
55,141,132197.68519216258
56,141,132192.43005081554
57,141,132189.232699172
58,141,132186.73148474196
59,141,132186.14800894563
60,141,132187.97102301256
61,141,132191.63961100206
62,141,132196.2285831638
63,141,132202.23689617682
64,141,132208.93831252705
65,141,132217.62170054976
66,141,132226.78015056474
67,141,132237.79786280813
51,142,133170.04647544824
52,142,133157.10709087155
53,142,133148.853675869
54,142,133138.4269966336
55,142,133133.14208939252
56,142,133125.8143885715
57,142,133123.6326952485
58,142,133119.12374960806
59,142,133119.87027878957
60,142,133117.70658938453
61,142,133122.5151091173
62,142,133124.67471578362
63,142,133132.34771587944
64,142,133136.69712359348
65,142,133147.09712297478
66,142,133153.53667397698
67,142,133166.40619649598
68,142,133175.72672648475
52,143,134094.62050817852
53,143,134084.36103213447
54,143,134074.9478650572
55,143,134067.47522934282
56,143,134061.21354248203
57,143,134056.97928047998
58,143,134053.54436896398
59,143,134052.08254825574
60,143,134051.14843758638
61,143,134052.1900836609
62,143,134055.63361242882
63,143,134060.90943667092
64,143,134066.9194366197
65,143,134074.73155535976
66,143,134082.98179862482
67,143,134093.10310428566
68,143,134103.99040735472
52,144,135030.42463380753
53,144,135021.3146214859
54,144,135009.77254885642
55,144,135003.37348803988
56,144,134994.87772062773
57,144,134991.7951905362
58,144,134986.2129084604
59,144,134985.89426202636
60,144,134982.8968220581
61,144,134985.22873370902
62,144,134984.67922391364
63,144,134991.02567580628
64,144,134994.88533931802
65,144,135004.27666285858
66,144,135010.07475907702
67,144,135022.03532965088
68,144,135030.03713226094
69,144,135044.48553728353
52,145,135968.12900740549
53,145,135957.00883081084
54,145,135946.64561520013
55,145,135938.08452862708
56,145,135930.6227699693
57,145,135925.303626594
58,145,135921.07189359842
59,145,135918.51296193083
60,145,135916.70694763126
61,145,135916.87144669527
62,145,135917.48754527807
63,145,135920.1474285505
64,145,135925.212327131
65,145,135931.73925973196
66,145,135939.8963452034
67,145,135949.01883954598
68,145,135958.89883234465
69,145,135970.55648103642
53,146,136894.0928293366
54,146,136881.67810415564
55,146,136874.32267461816
56,146,136864.766786809
57,146,136860.41188141677
58,146,136854.00718599244
59,146,136852.95956810922
60,146,136848.7071382462
61,146,136850.1786949308
62,146,136848.6366949362
63,146,136852.51545221408
64,146,136853.54723190304
65,146,136861.8694107317
66,146,136867.07812734417
67,146,136878.3948277701
68,146,136885.3110354824
69,146,136898.5779734397
53,147,137829.92676277691
54,147,137818.72740918354
55,147,137809.2070848877
56,147,137800.86312213796
57,147,137794.4487605993
58,147,137789.11325553007
59,147,137785.68306389468
60,147,137782.98036263286
61,147,137782.08517351307
62,147,137781.8611091272
63,147,137783.58254655675
64,147,137785.77022938684
65,147,137790.3844841615
66,147,137796.93111041078
67,147,137805.37005668264
68,147,137814.51934359013
69,147,137825.15275024317
54,148,138753.971706857
55,148,138745.7103098815
56,148,138735.07634898947
57,148,138729.91251828332
58,148,138722.22283512814
59,148,138720.08580694732
60,148,138715.21319389986
61,148,138715.7553830831
62,148,138713.28519299565
63,148,138716.32377798992
64,148,138716.35184018125
65,148,138722.08431264016
66,148,138724.76186262973
67,148,138734.63009345238
68,148,138741.14226280325
69,148,138753.85622580716
70,148,138762.39148204876
54,149,139691.11532100532
55,149,139680.8157907149
56,149,139671.28474305896
57,149,139663.89544160143
58,149,139657.44544202994
59,149,139653.07598949433
60,149,139649.7398275311
61,149,139648.05095792987
62,149,139646.97946398982
63,149,139647.67404560823
64,149,139648.98818910445
65,149,139652.62672243675
66,149,139656.42137231762
67,149,139662.4695085665
68,149,139670.3737418268
69,149,139680.17492277242
70,149,139690.78557209307
54,150,140626.61950553334
55,150,140617.43963115403
56,150,140605.71966550683
57,150,140599.2983177624
58,150,140590.76260136277
59,150,140587.30895563736
60,150,140581.9295129228
61,150,140582.01212899774
62,150,140578.55812930458
63,150,140580.81709472087
64,150,140579.8454131684
65,150,140584.50367545045
66,150,140586.29984665185
67,150,140593.66357300727
68,150,140597.77814174313
69,150,140609.11859433714
70,150,140616.77920183542
71,150,140630.83824232325
55,151,141552.82365294287
56,151,141542.1636344348
57,151,141533.7932284305
58,151,141525.8785093411
59,151,141520.32388518815
60,151,141516.16038320411
61,151,141513.717307047
62,151,141512.52708673166
63,151,141512.45046854723
64,151,141512.91464696237
65,151,141515.48002643214
66,151,141518.35117908748
67,151,141523.4808211656
68,151,141528.8372764687
69,151,141536.33195319652
70,151,141545.56121539316
71,151,141556.80299574838
55,152,142489.46798625228
56,152,142476.98782826812
57,152,142469.30765939367
58,152,142459.61732624625
59,152,142454.83959984552
60,152,142448.4480058857
61,152,142447.3432007851
62,152,142443.83469192008
63,152,142445.70916917318
64,152,142443.89036545958
65,152,142447.88036548914
66,152,142448.479706493
67,152,142454.99303369108
68,152,142458.09745109951
69,152,142466.87739128046
70,152,142472.32728289397
71,152,142485.17566142837
56,153,143413.62191514237
57,153,143404.032183358
58,153,143395.18205789095
59,153,143388.52328254626
60,153,143382.76139257208
61,153,143379.443768273
62,153,143377.53171268484
63,153,143376.7243057063
64,153,143377.20882795262
65,153,143378.77816171016
66,153,143380.9485755711
67,153,143385.07969788866
68,153,143389.62509009885
69,153,143396.11916238233
70,153,143402.93208882306
71,153,143411.7163092194
72,153,143422.79154308658
56,154,144348.66594158387
57,154,144340.0561415952
58,154,144329.36631527587
59,154,144323.72627218225
60,154,144316.0062716885
61,154,144313.31927169126
62,154,144309.1303101104
63,154,144309.8475074741
64,154,144307.87951659656
65,154,144311.4291676931
66,154,144311.19185932406
67,154,144316.94649575363
68,154,144318.9809002977
69,154,144327.15873200577
70,154,144331.65378161718
71,154,144341.91912980002
72,154,144348.85596638074
57,155,145275.1495372241
58,155,145265.2999185851
59,155,145257.66464120598
60,155,145250.79618094987
61,155,145246.1399707493
62,155,145242.88877129467
63,155,145241.26163925955
64,155,145241.00967848828
65,155,145241.82953768
66,155,145243.92403756606
67,155,145247.0401778278
68,155,145250.8708048054
69,155,145256.45405563503
70,155,145262.57736252647
71,155,145270.5349200982
72,155,145278.77025480018
73,155,145289.09214094904
57,156,146211.52373724378
58,156,146199.75430925976
59,156,146193.12477258343
60,156,146184.37194912732
61,156,146180.4072317107
62,156,146175.21334355284
63,156,146174.49123535224
64,156,146172.03874551572
65,156,146174.48306894346
66,156,146174.04469291496
67,156,146179.03567650696
68,156,146180.36239610508
69,156,146187.73966172725
70,156,146191.30854165656
71,156,146200.87452965628
72,156,146206.7545647534
73,156,146218.57328461087
57,157,147146.99811396058
58,157,147136.1378242205
59,157,147127.63337621483
60,157,147119.57406502188
61,157,147113.7710654185
62,157,147109.39052810305
63,157,147106.6090475905
64,157,147105.24428577322
65,157,147105.30433360903
66,157,147106.64351194078
67,157,147109.23531882974
68,157,147112.6545337386
69,157,147117.35890311576
70,157,147122.6482694191
71,157,147129.62836365442
72,157,147137.21369990878
73,157,147146.47223430758
74,157,147156.3782595719
58,158,148071.02256517042
59,158,148063.4122583537
60,158,148053.7271602031
61,158,148048.45614060757
62,158,148042.310435009
63,158,148040.29182208443
64,158,148036.87231468642
65,158,148038.091400141
66,158,148037.15513213133
67,158,148041.37488704422
68,158,148042.258468816
69,158,148048.85908353192
70,158,148051.5526636035
71,158,148060.35008327127
72,158,148065.459884525
73,158,148076.44386084648
74,158,148083.869731831
58,159,149007.71626766725
59,159,148998.2867528685
60,159,148989.33237923897
61,159,148982.50203479003
62,159,148976.8485371956
63,159,148973.01300031258
64,159,148970.4945290228
65,159,148969.52380504628
66,159,148969.88916590958
67,159,148971.72676624265
68,159,148974.49526638488
69,159,148978.48598273343
70,159,148983.22286963818
71,159,148989.34777683645
72,159,148996.20378022196
73,159,149004.61722963725
74,159,149013.6228717707
75,159,149024.25121947928
59,160,149934.3507653521
60,160,149923.82597370585
61,160,149917.65584992088
62,160,149910.31731582346
63,160,149907.05703989026
64,160,149902.60842898584
65,160,149902.71401477384
66,160,149900.87806318534
67,160,149904.1680630953
68,160,149904.48631271286
69,160,149910.2494518206
70,160,149912.38726152494
71,160,149920.28054693507
72,160,149924.61174114494
73,160,149934.72678902838
74,160,149941.22141555086
75,160,149953.67181602443
59,161,150869.55500877916
60,161,150859.8143749502
61,161,150851.95800185687
62,161,150845.37254813896
63,161,150840.252990416
64,161,150836.5384490279
65,161,150834.58281348814
66,161,150833.98909684567
67,161,150834.8482976908
68,161,150836.84329258234
69,161,150840.14587697765
70,161,150844.2103434402
71,161,150849.48224236618
72,161,150855.72877381791
73,161,150863.26601610027
74,161,150871.5372282291
75,161,150881.20177109935
76,161,150891.84845713232
60,162,151794.5286524794
61,162,151787.49866648845
62,162,151779.15963972596
63,162,151774.8157492515
64,162,151769.25797385402
65,162,151767.6591461987
66,162,151765.3575239415
67,162,151767.49813092264
68,162,151767.20448299582
69,162,151772.06121127435
70,162,151773.71752981417
71,162,151780.70693433305
72,162,151784.37026776437
73,162,151793.75728873364
74,162,151799.5394768958
75,162,151811.08596014985
76,162,151819.0390567963
60,163,152730.95315318063
61,163,152722.0732199023
62,163,152714.43318445125
63,163,152708.45897716336
64,163,152703.6442052422
65,163,152700.43704217125
66,163,152698.6519380513
67,163,152698.6547688619
68,163,152699.8653833091
69,163,152702.30438324803
70,163,152705.7389175089
71,163,152710.2413818134
72,163,152715.76347539778
73,163,152722.49816192285
74,163,152730.12435723448
75,163,152739.03054281115
76,163,152748.69625284348
77,163,152759.7223485338
61,164,153658.16704019718
62,164,153648.60158408058
63,164,153643.2947522628
64,164,153636.83321054786
65,164,153634.42191510653
66,164,153630.5592493893
67,164,153631.54638070296
68,164,153630.5843252105
69,164,153634.61795549234
70,164,153635.5147272206
71,164,153641.88452328692
72,164,153644.70854234067
73,164,153653.24409386588
74,164,153658.29134342767
75,164,153669.0544569085
76,164,153676.10217482116
77,164,153689.04327521
61,165,154593.350790754
62,165,154584.51091172206
63,165,154577.2918976329
64,165,154571.4952191485
65,165,154567.43215179007
66,165,154564.4087119584
67,165,154563.12298368977
68,165,154563.49964823396
69,165,154565.09097643028
70,165,154567.72561248657
71,165,154571.5787536766
72,165,154576.38548866668
73,165,154582.17312886377
74,165,154589.1596848737
75,165,154597.36164693648
76,165,154606.2743399309
77,165,154616.42576265906
78,165,154627.70243026293
62,166,155519.06497226562
63,166,155512.7662091451
64,166,155505.1441776121
65,166,155501.70632536922
66,166,155496.93063242012
67,166,155496.4447641648
68,166,155494.5909586288
69,166,155497.62862516992
70,166,155497.92139656076
71,166,155503.49411684964
72,166,155505.65611466134
73,166,155513.41732352268
74,166,155517.6276321539
75,166,155527.6777679393
76,166,155534.0835774306
77,166,155546.20964190416
78,166,155554.73281294128
62,167,156455.67949776378
63,167,156447.23922970175
64,167,156440.2334737354
65,167,156435.12612324266
66,167,156431.09775497104
67,167,156428.72974699212
68,167,156427.71994963248
69,167,156428.46608944942
70,167,156430.4193049675
71,167,156433.48292479725
72,167,156437.5414446015
73,167,156442.65814170608
74,167,156448.91599360565
75,167,156456.17505262626
76,167,156464.5103450289
77,167,156473.9367570208
78,167,156484.2558738377
62,168,157390.8632483206
63,168,157383.25294150383
64,168,157374.35344684933
65,168,157369.7221271027
66,168,157363.94491032456
67,168,157362.44407678032
68,168,157359.51407698507
69,168,157361.1909293809
70,168,157360.92344153445
71,168,157365.43047668049
72,168,157367.14275100254
73,168,157374.1093953945
74,168,157377.6103777872
75,168,157386.70841854662
76,168,157392.50831348015
77,168,157403.83707768618
78,168,157411.49323077966
79,168,156493.5391440624
63,169,158318.3370221917
64,169,158310.10727179682
65,169,158303.51695102223
66,169,158298.4014005869
67,169,158295.2014007056
68,169,158293.0762472116
69,169,158292.72275637768
70,169,158293.62188292303
71,169,158295.91488327083
72,169,158299.28051584444
73,169,158303.70697581914
74,169,158309.07954410723
75,169,158315.58816353406
76,169,158323.27442624295
77,169,158331.9039943994
78,169,158341.53308833006
79,169,158352.20894223786
63,170,159254.63111371858
64,170,159244.64177096426
65,170,159238.78174156597
66,170,159231.7815633863
67,170,159229.2539988511
68,170,159225.3839994808
69,170,159225.69619904415
70,170,159224.72758397026
71,170,159228.18527890052
72,170,159229.2376529926
73,170,159235.35384326908
74,170,159238.2007081472
75,170,159246.58751683115
76,170,159251.56582092543
77,170,159262.3094196048
78,170,159269.19231056757
79,170,159281.78789278047
80,170,158359.41311762598
64,171,160180.77564550555
65,171,160173.21563937035
66,171,160166.97556037825
67,171,160162.46779307784
68,171,160159.26779319654
69,171,160157.77534403073
70,171,160157.6787974615
71,171,160159.15714939556
72,171,160161.5542647022
73,171,160165.26533720622
74,171,160169.89952036575
