A   Z   threshold of 30mg/cm2 Sn
1   1   2.4575
2   1   3.1163
3   1   3.5494  
3   2   8.8159
4   2   9.7001
6   2   11.0436
8   2   12.0133
7   3   18.946
8   3   19.361
9   3   20.22
11  3   21.1813
9   4   28.9117
10  4   29.7246
11  4   30.4602
12  4   31.1043
10  5   39.075
11  5   40.0738
12  5   40.9809
13  5   41.7992
13  6   52.3708
14  6   53.3479
15  6   54.2382
16  6   55.0552
15  7   65.5637
16  7   66.5861
17  7   67.5232
18  7   68.401
19  8   81.2737
20  8   82.1546
21  8   82.979
22  8   83.7484
21  9   95.6796
22  9   96.5789
23  9   97.4121
24  9   98.1868
20  10  107.4104
21  10  108.5033
22  10  109.5142
23  10  110.4688
24  11  123.3471
25  11  125.2441
26  11  126.0912
27  11  126.8733
28  11  127.5998
26  12  140.1252
27  12  141.0123
28  12  141.8332
30  12  143.3255
27  13  155.6015
28  13  156.5359
29  13  157.4098
30  13  158.2308
27  14  170.7229
28  14  171.7784
29  14  172.7773
30  14  173.7155
28  15  188.2412
29  15  189.4035
30  15  190.5128
31  15  191.5554
30  16  204.7956
31  16  205.8841
33  16  207.8792
35  16  209.6466
35  17  225.6769
38  17  228.1863
39  17  228.9297
41  17  230.2786
34  18  240.9788
35  18  242.0071
36  18  242.9754
38  18  244.7556
37  19  259.9353
39  19  261.7265
40  19  262.5464
42  19  264.0481
40  20  279.0909
42  20  280.7019
43  20  281.435
44  20  282.1246
43  21  298.569
44  21  299.3186
45  21  300.0198
48  21  301.8811
45  22  316.7122
48  22  318.6667
49  22  319.236
50  22  319.7696    
46  23  334.2492
48  23  335.5674
50  23  336.726
52  23  337.7255
52  24  353.3767
53  24  353.808
54  24  354.2014
58  24  355.4499
50  25  368.7591
52  25  360.7367
55  25  370.9158
58  25  371.7784
55  26  387.6112
56  26  387.9325
57  26  388.2199
58  26  388.4708
50  27  401.4442
52  27  402.4123
54  27  403.2067
55  27  403.5456
53  28  421.8844
55  28  422.7126
58  28  423.662
60  28  424.1137
