A   Z   threshold of 50mg/cm2 Sn
1   1   3.4078
2   1   4.3666
3   1   5.0131
3   2   12.247
4   2   13.5668
6   2   15.6234
8   2   17.1753
7   3   27.0772
8   3   28.2547
9   3   29.307
11  3   31.0817
10  4   42.8158
11  4   44.0838
12  4   35.2529
13  4   46.3151
11  5   57.6943
12  5   59.2553
13  5   60.6941
14  5   62.0298
13  6   75.7227
14  6   77.4129
15  6   79.0064
16  6   80.481
14  7   93.2942
15  7   95.2179
16  7   97.031
17  7   98.7311
16  8   113.8165
17  8   115.823
18  8   117.6985
19  8   119.4803
18  9   135.5473
19  9   137.5954
20  9   139.5341
21  9   141.3713
20  10  158.1717
21  10  160.2596
22  10  162.2323
23  10  164.1141
22  11  181.4168
23  11  183.4921
24  11  185.4799
25  11  187.3607
26  12  209.9702
27  12  211.8883
28  12  213.7115
29  12  215.4612
28  13  235.4356
29  13  237.3749
30  13  239.2334
31  13  241.013
30  14  261.9357
31  14  263.9147
32  14  265.8103
32  14  267.6326
32  15  290.2011
33  15  292.251
34  15  294.2276
35  15  296.123
34  16  316.6902
35  16  318.7087
36  16  320.6445
37  16  322.5177
36  17  344.8044
37  17  346.8218
38  17  348.7713
39  17  350.6419
38  18  373.585
39  18  375.6134
40  18  377.5612
31  18  379.4483
40  19  402.3507
41  19  404.353
42  19  406.2897
43  19  408.1514
40  20  427.5343
41  20  429.666
42  20  431.713
43  20  433.6954
44  20  435.6084
43  21  459.7053
44  21  461.745
45  21  463.7089
46  21  465.6104
45  22  489.5811
46  22  491.584
47  22  493.5238
48  22  495.39
46  23  517.7506
47  23  519.7716
48  23  521.7404
49  23  523.6432
50  24  551.0013
51  24  552.8392
52  24  554.608
53  24  556.3206
52  25  580.9315
53  25  582.6903
54  25  584.4088
55  25  586.0624
56  26  614.5692
57  26  616.1742
58  26  617.7162
59  26  619.2068
58  27  644.1264
59  27  645.6406
60  27  647.1139
61  27  648.5277
58  28  673.5662
59  28  675.1819
60  28  676.7344
61  28  678.2364
