A   Z   threshold of 58mg/cm2 Sn
1   1   3.7425
2   1   4.8076
3   1   5.5304
3   2   13.4513
4   2   14.9218
5   2   16.1704
6   3   28.3748
7   3   29.9061
8   3   31.2625
9   3   32.4661
9   4   45.791
10  4   47.3908
11  4   48.8567
12  4   50.2012
10  5   61.9367
11  5   63.8688
12  5   65.6612
13  5   67.322
14  6   85.8708
15  6   87.71
17  6   91.0473
18  6   92.5656
17  7   109.7133
18  7   111.5787
19  7   113.3337
20  7   115.0069
16  8   126.3597
17  8   128.6829
18  8   130.8694
19  8   132.9413
18  9   150.683
19  9   153.0658
20  9   155.3375
21  9   157.4861
20  10  176.0679
21  10  178.514
22  10  180.8364
23  10  183.0565
22  11  202.2564
23  11  204.7121
24  11  207.067
25  11  209.3102
24  12  229.7688
25  12  232.2774
26  12  234.6616
27  12  236.9579
26  13  258.3977
27  13  260.9269
28  13  263.3629
29  13  265.6942
28  14  288.1624
29  14  290.7319
30  14  293.2085
31  14  295.5956
30  15  319.7116
31  15  322.3463
32  15  324.8955
33  15  327.3537
34  16  355.0671
35  16  357.5053
36  16  359.8517
37  16  362.1431
35  17  384.3771
36  17  386.924
37  17  389.3726
38  17  391.7454
37  18  417.0098
38  18  419.5384
39  18  422.0147
40  18  424.4009
40  19  452.2943
41  19  454.7375
42  19  457.1202
43  19  459.428
40  20  480.5765
41  20  483.1978
42  20  485.7217
43  20  488.1694
41  21  512.1008
42  21  514.7784
43  21  517.3671
44  21  519.8967
43  22  546.2975
44  22  548.9406
45  22  551.5154
46  22  553.9982
45  23  580.8959
46  23  583.5245
47  23  586.0664
48  23  588.5326
47  24  614.8662
48  24  617.4202
49  24  619.9127
50  24  622.3165
51  25  654.4645
52  25  656.8279
53  25  659.1099
54  25  661.326
55  26  694.0139
56  26  696.1802
57  26  698.2849
58  26  700.3182
58  27  730.549
59  27  732.5824
60  27  734.556
58  28  763.6421
59  28  765.7987
60  28  767.8969
61  28  769.9336
62  28  771.8984   
