ring A Z kinergy_MeV
2 34 16 387.0526
2 35 16 389.8324
2 26 16 364.008850000735
2 27 16 366.8835800007391
2 28 16 369.75831000074317
2 29 16 372.63304000074726
2 30 16 375.50777000075135
2 31 16 378.38250000075544
2 36 16 392.75615000077585
2 37 16 395.63088000077994
2 38 16 398.50561000078403
2 39 16 401.3803400007881
2 40 16 404.2550700007922
2 41 16 407.1298000007963
2 42 16 410.0045300008004
2 43 16 412.8792600008045
2 44 16 415.7539900008086
2 45 16 418.6287200008127
2 46 16 421.50345000081677
2 47 16 424.37818000082086
2 48 16 427.25291000082495
2 49 16 430.12764000082905
2 32 17 409.9005
2 33 17 413.0809
2 34 17 416.1619
2 35 17 419.1361
2 28 17 397.6365600008045
2 29 17 400.71534000080896
2 30 17 403.79412000081345
2 31 17 406.8729000008179
2 36 17 422.26680000084025
2 37 17 425.34558000084473
2 38 17 428.4243600008492
2 39 17 431.50314000085365
2 40 17 434.58192000085813
2 41 17 437.6607000008626
2 42 17 440.73948000086705
2 43 17 443.81826000087153
2 44 17 446.897040000876
2 45 17 449.9758200008805
2 46 17 453.054600000885
2 47 17 456.1333800008894
2 48 17 459.2121600008939
2 49 17 462.2909400008984
2 50 17 465.3697200009028
2 51 17 468.4485000009073
2 52 17 471.5272800009118
2 32 18 438.9426
2 33 18 442.3596
2 34 18 445.6504
2 35 18 448.8592
2 29 18 429.08468000087055
2 30 18 432.38874000087554
2 31 18 435.69280000088054
2 36 18 452.2131000009055
2 37 18 455.5171600009105
2 38 18 458.8212200009155
2 39 18 462.1252800009205
2 40 18 465.42934000092544
2 41 18 468.7334000009305
2 42 18 472.0374600009354
2 43 18 475.3415200009405
2 44 18 478.6455800009454
2 45 18 481.94964000095047
2 46 18 485.2537000009554
2 47 18 488.55776000096046
2 48 18 491.8618200009654
2 49 18 495.16588000097045
2 50 18 498.4699400009754
2 51 18 501.77400000098044
2 52 18 505.0780600009854
2 53 18 508.3821200009904
2 54 18 511.68618000099536
2 39 19 491.0215
2 40 19 493.9471
2 41 19 496.7727
2 42 19 499.5296
2 43 19 502.2056
2 44 19 504.8027
2 31 19 469.11501333428674
2 32 19 471.87039619143343
2 33 19 474.6257790485801
2 34 19 477.3811619057268
2 35 19 480.1365447628735
2 36 19 482.89192762002017
2 37 19 485.6473104771669
2 38 19 488.40269333431354
2 45 19 507.6903733343404
2 46 19 510.4457561914871
2 47 19 513.2011390486338
2 48 19 515.9565219057805
2 49 19 518.7119047629271
2 50 19 521.4672876200739
2 51 19 524.2226704772206
2 52 19 526.9780533343672
2 53 19 529.7334361915139
2 54 19 532.4888190486606
2 55 19 535.2442019058074
2 56 19 537.999584762954
2 57 19 540.7549676201007
2 58 19 543.5103504772474
2 59 19 546.2657333343941
2 40 20 524.8123
2 41 20 527.8365
2 42 20 530.7645
2 43 20 533.6089
2 33 20 504.33542000167034
2 34 20 507.2672000014745
2 35 20 510.1989800012787
2 36 20 513.1307600010829
2 37 20 516.0625400008871
2 38 20 518.9943200006912
2 39 20 521.9261000004955
2 44 20 536.5849999995164
2 45 20 539.5167799993205
2 46 20 542.4485599991247
2 47 20 545.3803399989289
2 48 20 548.3121199987331
2 49 20 551.2438999985372
2 50 20 554.1756799983414
2 51 20 557.1074599981456
2 52 20 560.0392399979498
2 53 20 562.971019997754
2 54 20 565.9027999975582
2 55 20 568.8345799973623
2 56 20 571.7663599971665
2 57 20 574.6981399969707
2 58 20 577.6299199967749
2 59 20 580.561699996579
2 60 20 583.4934799963833
2 61 20 586.4252599961874
2 42 21 562.4548
2 43 21 565.4651
2 44 21 568.399
2 45 21 571.2518
2 35 21 541.9665098227318
2 36 21 544.8989998435869
2 37 21 547.831489864442
2 38 21 550.7639798852971
2 39 21 553.6964699061522
2 40 21 556.6289599270073
2 41 21 559.5614499478623
2 46 21 574.2239000521377
2 47 21 577.1563900729927
2 48 21 580.0888800938478
2 49 21 583.0213701147029
2 50 21 585.953860135558
2 51 21 588.8863501564131
2 52 21 591.8188401772682
2 53 21 594.7513301981232
2 54 21 597.6838202189783
2 55 21 600.6163102398334
2 56 21 603.5488002606885
2 57 21 606.4812902815435
2 58 21 609.4137803023985
2 59 21 612.3462703232536
2 60 21 615.2787603441087
2 61 21 618.2112503649638
2 62 21 621.1437403858189
2 63 21 624.076230406674
