A   Z   threshold of 65mg/cm2 Sn
1   1   4.0199
2   1   5.1746
3   1   5.9605
3   2   14.45
4   2   16.0414
6   2   18.5632
8   2   20.4898
6   3   30.5553
7   3   32.2395
8   3   33.7419
9   3   35.0819
11  3   37.3988
9   4   49.4077
10  4   51.1737
11  4   52.8036
12  4   54.2917
8   5   61.9965
10  5   66.8471
11  5   68.9806
12  5   70.9678
12  6   88.3833
13  6   90.7091
14  6   92.8763
15  6   94.9222
16  6   96.8338
14  7   111.8263
15  7   114.2883
16  7   116.6259
17  7   118.8188
18  7   120.9046
16  8   146.7551
17  8   139.3471
18  8   141.7872
19  8   144.1088
20  8   146.3081
18  9   163.2298
19  9   165.8983
20  9   168.4418
21  9   170.8591
22  9   173.1706
20  10  190.9081
21  10  193.6596
22  10  196.27
23  10  198.7762
20  11  213.6367
21  11  216.6482
22  11  219.5418
23  11  222.3159
21  12  240.4919
22  12  243.6497
23  12  246.7123
24  12  249.6308
26  13  280.9568
27  13  283.8111
28  13  286.566
29  13  289.2131
30  14  319.2316
31  14  321.945
32  14  324.5525
33  14  327.0883
30  15  347.9386
31  15  350.9135
32  15  353.7962
33  15  356.595
34  15  359.3115
32  16  381.2051
33  16  384.1872
34  16  387.0526
35  16  389.8324
32  17  409.9005
33  17  413.0809
34  17  416.1619
35  17  419.1361
32  18  438.9426
33  18  442.3596
34  18  445.6504
35  18  448.8592
39  19  491.0215
40  19  493.9471
41  19  496.7727
42  19  499.5296
43  19  502.2056
44  19  504.8027
40  20  524.8123
41  20  527.8365
42  20  530.7645
43  20  533.6089
42  21  562.4548
43  21  565.4651
44  21  568.399
45  21  571.2518
46  22  606.0712
47  22  608.9092
48  22  611.6721
49  22  614.36
44  23  632.1296
45  23  635.2791
46  23  638.3526
47  23  641.3423
48  24  675.9923
49  24  678.9376
50  24  681.7927
51  24  684.5718
48  25  708.3917
49  25  711.449
50  25  714.4233
51  25  717.3071
48  26  741.1095
49  26  744.3049
50  26  747.3977
51  26  750.4245
54  27  791.9842
55  27  794.796
56  27  797.4816
57  27  800.1105
55  28  830.4657
56  28  833.3205
57  28  836.1173
58  28  838.8241
