A   Z   threshold of 23mg/cm2 Sn
1   1   2.0676
2   1   2.6046
3   1   2.9487
3   2   7.3939
4   2   8.1016
6   2   9.151
8   2   9.8843
7   3   15.5539
8   3   16.0459
9   3   16.4597
11  3   17.1081
13  3   17.5311
6   4   21.3052
10  4   24.3026
11  4   24.8146
12  4   25.2634
14  4   26.0012
10  5   32.0706
11  5   32.7857
12  5   33.4333
13  5   33.9974
19  5   36.1008
14  6   43.4355
15  6   44.0512
16  6   44.6096
17  6   45.1089
22  6   46.8782
15  7   53.3698
16  7   54.0849
17  7   54.7281
18  7   55.3084
23  7   57.4513
16  8   63.5263
17  8   64.2977
18  8   64.9888
19  8   65.6238
24  8   67.9511
17  9   74.1573
18  9   74.9687
19  9   75.7051
20  9   76.3901
29  9   80.2041
20  10  86.6357
21  10  87.3404
22  10  87.9777
23  10  88.574
30  10  91.2427
22  11  98.1872
23  11  98.8241
24  11  99.4004
25  11  99.9187
31  11  101.8681
24  12  110.5329
25  12  111.1318
26  12  111.6765
27  12  112.1673
35  12  114.2691
27  13  123.9468
28  13  124.4662
29  13  124.9388
30  13  125.3628
36  13  126.7303
30  14  137.9417
31  14  138.4075
32  14  138.8332
33  14  139.2159
37  14  140.0453
32  15  153.0733
33  15  153.5878
34  15  154.0616
38  15  155.6032
45  15  157.0722
34  16  165.2335
36  16  166.0577
40  16  167.2784
41  16  167.5013
37  17  179.3309
38  17  179.6963
39  17  180.023
40  17  180.3153
38  18  192.9533
40  18  193.6739
44  18  194.7074
46  18  195.0511
44  19  207.5353
45  19  207.731
48  19  208.158
50  19  208.3132
40  20  219.5136
44  20  220.7242
46  20  221.1345
50  20  221.6066
43  21  234.0726
44  21  234.3583
46  21  234.8243
48  21  235.1695
46  22  247.8607
47  22  248.0561
48  22  248.2185
50  22  248.4556
52  22  248.589
47  23  261.186
50  23  261.6032
51  23  261.6816
55  23  261.7376
43  24  272.1167
45  24  272.6418
50  24  273.3329
55  24  273.2687
50  25  285.7712
52  25  285.7822
55  25  285.5897
58  25  285.1607
47  26  298.2951
50  26  298.519
51  26  298.5282
52  26  298.5043
50  27  310.5225
51  27  310.4936
52  27  310.432
53  27  310.3411
51  28  325.6111
55  28  325.3351
58  28  324.8168
60  28  324.3391
65  28  321.5998
